,STATIONS_LOOKUP,STATIONS_MTA,ZIPS,GEOCODES
181,"LEXINGTON AV/53 station, New York, NY",LEXINGTON AV/53,10022.0,"[40.757552, -73.969055]"
182,"COURT SQ-23 ST station, New York, NY",COURT SQ-23 ST,11101.0,"[40.7467885, -73.944548]"
185,"46 ST station, New York, NY",46 ST,11104.0,"[40.7430616, -73.9182048]"
187,"65 ST station, New York, NY",65 ST,11377.0,"[40.749142, -73.8974671]"
188,"JKSN HT-ROOSVLT station, New York, NY",JKSN HT-ROOSVLT,11372.0,"[40.7466891, -73.8908579]"
189,"ELMHURST AV station, New York, NY",ELMHURST AV,11372.0,"[40.7484876, -73.87653279999999]"
190,"GRAND-NEWTOWN station, New York, NY",GRAND-NEWTOWN,11373.0,"[40.7373619, -73.8772044]"
191,"63 DR-REGO PARK station, New York, NY",63 DR-REGO PARK,11374.0,"[40.72984599999999, -73.861604]"
192,"67 AV station, New York, NY",67 AV,11375.0,"[40.7263823, -73.8515929]"
194,"75 AV station, New York, NY",75 AV,11375.0,"[40.718331, -73.837324]"
195,"KEW GARDENS station, New York, NY",KEW GARDENS,11415.0,"[40.7307692, -73.7752759]"
196,"BRIARWOOD station, New York, NY",BRIARWOOD,11435.0,"[40.7092812, -73.8199405]"
197,"SUTPHIN BLVD station, New York, NY",SUTPHIN BLVD,11435.0,"[40.7055511, -73.8097095]"
198,"PARSONS BLVD station, New York, NY",PARSONS BLVD,11432.0,"[40.7074669, -73.8028085]"
199,"169 ST station, New York, NY",169 ST,11432.0,"[40.71047, -73.793604]"
200,"JAMAICA 179 ST station, New York, NY",JAMAICA 179 ST,11432.0,"[40.712646, -73.783817]"
201,"COURT SQ station, New York, NY",COURT SQ,11101.0,"[40.74621, -73.94570999999999]"
202,"21 ST station, New York, NY",21 ST,11101.0,"[40.7447266, -73.9486886]"
204,"NASSAU AV station, New York, NY",NASSAU AV,11222.0,"[40.7238944, -73.9506777]"
205,"BROADWAY station, New York, NY",BROADWAY,11106.0,"[40.7623472, -73.9256595]"
206,"MYRTLE-WILLOUGH station, New York, NY",MYRTLE-WILLOUGH,11206.0,"[40.6954927, -73.9489844]"
207,"BEDFORD-NOSTRAN station, New York, NY",BEDFORD-NOSTRAN,11205.0,"[40.6899751, -73.9516093]"
208,"CLASSON AV station, New York, NY",CLASSON AV,11238.0,"[40.688873, -73.96007]"
209,"47-50 STS ROCK station, New York, NY",47-50 STS ROCK,10020.0,"[40.75866300000001, -73.981329]"
210,"42 ST-BRYANT PK station, New York, NY",42 ST-BRYANT PK,10021.0,"[40.7551354, -73.9841134]"
211,"B'WAY-LAFAYETTE station, New York, NY",B'WAY-LAFAYETTE,10012.0,"[40.7250151, -73.9956959]"
212,"2 AV station, New York, NY",2 AV,10003.0,"[40.723938, -73.99129169999999]"
213,"EAST BROADWAY station, New York, NY",EAST BROADWAY,10002.0,"[40.7144029, -73.98991880000001]"
